ID,Name,Passage: start,Passage: start ID,Passage: end,Passage: end ID,Subject,Subject ID,Predicate,Predicate ID,Direct Object,Direct Object ID,Indirect Object (to/for),Indirect Object (to/for) ID
10005760,"Apollodoros Library 2.5.9 Laomedon father of Priam deceives Apollo Olympian god, Poseidon Neptune Olympian god",Apollodoros Library 2.5.9,8316546,,,Laomedon father of Priam,8189656,deceives,8188737,Apollo Olympian god,8182233,,
10005760,"Apollodoros Library 2.5.9 Laomedon father of Priam deceives Apollo Olympian god, Poseidon Neptune Olympian god",Apollodoros Library 2.5.9,8316546,,,Laomedon father of Priam,8189656,deceives,8188737,Poseidon Neptune Olympian god,8188403,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Deiphobos son of Priam and Hecabe,8188148,is child of,8188649,Hecabe Hecuba wife of Priam,8188464,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Deiphobos son of Priam and Hecabe,8188148,is child of,8188649,Priam Priamos king of Troy,8189347,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Helenos son of Priam,8188467,is child of,8188649,Hecabe Hecuba wife of Priam,8188464,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Helenos son of Priam,8188467,is child of,8188649,Priam Priamos king of Troy,8189347,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Pammon son of Priam,8189105,is child of,8188649,Hecabe Hecuba wife of Priam,8188464,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Pammon son of Priam,8189105,is child of,8188649,Priam Priamos king of Troy,8189347,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Polites son of Priam,8189297,is child of,8188649,Hecabe Hecuba wife of Priam,8188464,,
9616019,"Apollodoros Library 3.12.5 Deiphobos son of Priam and Hecabe, Helenos son of Priam, Pammon son of Priam, Polites son of Priam, Antiphos son of Priam and Hecabe, Hipponoos son of Priam and Hecabe, Troilos son of Priam or Apollo and Hecabe, Polydoros son of Priam and Hecabe is child of Hecabe Hecuba wife of Priam, Priam Priamos king of Troy",Apollodoros Library 3.12.5,9615058,,,Polites son of Priam,8189297,is child of,8188649,Priam Priamos king of Troy,8189347,,
